ts	cpu	mem	net_io	block_io	pids	fd_count	tcp_inuse	tcp_tw	tcp_alloc	tcp_mem	listen_overflows	listen_drops	tcp_retrans_segs	softirq_net_rx	softirq_net_tx
1775662764	39.54%	227.3MiB / 3.884GiB	2.56GB / 8.19GB	420MB / 0B	11	3	527	0	617	0	0	0	7	63980234	15284
1775662767	38.23%	226.9MiB / 3.884GiB	2.56GB / 8.2GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64002098	15284
1775662770	38.75%	226.9MiB / 3.884GiB	2.56GB / 8.21GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64023924	15284
1775662773	38.02%	226.9MiB / 3.884GiB	2.56GB / 8.21GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64045512	15284
1775662776	40.93%	227.3MiB / 3.884GiB	2.57GB / 8.22GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64067449	15284
1775662779	38.17%	227.6MiB / 3.884GiB	2.57GB / 8.22GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64089415	15284
1775662782	37.93%	227.6MiB / 3.884GiB	2.57GB / 8.23GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64110874	15284
1775662785	38.58%	226.9MiB / 3.884GiB	2.57GB / 8.24GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64133430	15284
1775662788	40.13%	227.4MiB / 3.884GiB	2.57GB / 8.24GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64154823	15284
1775662791	38.84%	227.5MiB / 3.884GiB	2.58GB / 8.25GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64176867	15286
1775662794	38.74%	227.3MiB / 3.884GiB	2.58GB / 8.26GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64199024	15287
1775662797	39.27%	227.4MiB / 3.884GiB	2.58GB / 8.26GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64220408	15287
1775662800	41.71%	227.2MiB / 3.884GiB	2.58GB / 8.27GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64243251	15287
1775662804	47.40%	227.3MiB / 3.884GiB	2.58GB / 8.27GB	420MB / 0B	12	3	527	0	617	0	0	0	7	64266706	15287
1775662807	42.40%	227.4MiB / 3.884GiB	2.58GB / 8.28GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64289650	15287
1775662810	43.74%	227.4MiB / 3.884GiB	2.59GB / 8.29GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64312949	15287
1775662813	41.51%	227.4MiB / 3.884GiB	2.59GB / 8.29GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64340898	15287
1775662817	35.05%	227.4MiB / 3.884GiB	2.59GB / 8.3GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64362221	15287
1775662820	35.86%	227.4MiB / 3.884GiB	2.59GB / 8.31GB	420MB / 0B	11	3	527	0	617	0	0	0	7	64383904	15287
1775662823	37.41%	227.6MiB / 3.884GiB	2.59GB / 8.31GB	420MB / 0B	11	3	527	0	618	0	0	0	7	64405311	15287
1775662826	35.83%	227.5MiB / 3.884GiB	2.6GB / 8.32GB	420MB / 0B	12	3	527	0	619	0	0	0	7	64426879	15287
1775662829	35.05%	227.6MiB / 3.884GiB	2.6GB / 8.32GB	420MB / 0B	12	3	527	0	619	0	0	0	7	64448198	15287
1775662832	35.20%	227MiB / 3.884GiB	2.6GB / 8.33GB	420MB / 0B	12	3	527	0	619	0	0	0	7	64470443	15287
1775662835	35.18%	227.1MiB / 3.884GiB	2.6GB / 8.34GB	420MB / 0B	12	3	527	0	619	0	0	0	7	64491192	15287
1775662838	34.32%	226.7MiB / 3.884GiB	2.6GB / 8.34GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64513038	15291
1775662841	34.72%	227.4MiB / 3.884GiB	2.61GB / 8.35GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64534026	15294
1775662844	35.70%	227.2MiB / 3.884GiB	2.61GB / 8.35GB	420MB / 0B	11	3	527	0	619	0	0	0	7	64555817	15294
