-- ============================================================================
-- 数据库架构列定义文档
-- ============================================================================
-- 
-- 说明: 本文件是从当前数据库导出的架构快照，用于记录数据库表结构。
-- 
-- 重要提示:
-- 1. 本文件中的字段命名可能与 DATABASE_FIELD_STANDARDS.md 规范不一致
-- 2. 请参考 DATABASE_FIELD_NORM_AUDIT_REPORT.md 了解需要规范化的字段
-- 3. 实际数据库迁移脚本位于:
--    - 00000000_unified_schema.sql (统一架构)
--    - 20260220000000_normalize_field_names.sql (字段规范化迁移)
-- 
-- 规范要求:
-- - 布尔字段使用 is_/has_ 前缀 (如: is_enabled, is_active -> is_enabled)
-- - 时间戳字段使用 _ts 后缀 (如: created_ts, updated_ts)
-- - 可选时间戳使用 _at 后缀 (如: expires_at, revoked_at)
-- - 避免冗余字段 (如: ip 和 ip_address 保留一个)
-- 
-- 生成命令:
-- SELECT table_name, column_name, data_type, character_maximum_length, 
--        is_nullable, column_default 
-- FROM information_schema.columns 
-- WHERE table_schema = 'public' 
-- ORDER BY table_name, ordinal_position;
-- 
-- ============================================================================

                table_name                 |        column_name         |        data_type         | character_maximum_length | is_nullable |                            column_default                             
 cas_proxy_granting_tickets                | expires_at                 | timestamp with time zone |                          | NO          | 
 cas_proxy_granting_tickets                | is_valid                   | boolean                  |                          | NO          | true
 cas_proxy_tickets                         | id                         | integer                  |                          | NO          | nextval('cas_proxy_tickets_id_seq'::regclass)
 cas_proxy_tickets                         | proxy_ticket_id            | character varying        |                      255 | NO          | 
 cas_proxy_tickets                         | user_id                    | character varying        |                      255 | NO          | 
 cas_proxy_tickets                         | service_url                | text                     |                          | NO          | 
 cas_proxy_tickets                         | pgt_url                    | text                     |                          | YES         | 
 cas_proxy_tickets                         | created_at                 | timestamp with time zone |                          | NO          | now()
 cas_proxy_tickets                         | expires_at                 | timestamp with time zone |                          | NO          | 
 cas_proxy_tickets                         | consumed_at                | timestamp with time zone |                          | YES         | 
 cas_proxy_tickets                         | is_valid                   | boolean                  |                          | NO          | true
 cas_services                              | id                         | integer                  |                          | NO          | nextval('cas_services_id_seq'::regclass)
 cas_services                              | service_id                 | character varying        |                      255 | NO          | 
 cas_services                              | name                       | character varying        |                      255 | NO          | 
 cas_services                              | description                | text                     |                          | YES         | 
 cas_services                              | service_url_pattern        | text                     |                          | NO          | 
 cas_services                              | allowed_attributes         | jsonb                    |                          | YES         | '[]'::jsonb
 cas_services                              | allowed_proxy_callbacks    | jsonb                    |                          | YES         | '[]'::jsonb
 cas_services                              | is_enabled                 | boolean                  |                          | NO          | true
 cas_services                              | require_secure             | boolean                  |                          | NO          | true
 cas_services                              | single_logout              | boolean                  |                          | NO          | false
 cas_services                              | created_at                 | timestamp with time zone |                          | NO          | now()
 cas_services                              | updated_at                 | timestamp with time zone |                          | NO          | now()
 cas_slo_sessions                          | id                         | integer                  |                          | NO          | nextval('cas_slo_sessions_id_seq'::regclass)
 cas_slo_sessions                          | session_id                 | character varying        |                      255 | NO          | 
 cas_slo_sessions                          | user_id                    | character varying        |                      255 | NO          | 
 cas_slo_sessions                          | service_url                | text                     |                          | NO          | 
 cas_slo_sessions                          | ticket_id                  | character varying        |                      255 | YES         | 
 cas_slo_sessions                          | created_at                 | timestamp with time zone |                          | NO          | now()
 cas_slo_sessions                          | logout_sent_at             | timestamp with time zone |                          | YES         | 
 cas_tickets                               | id                         | integer                  |                          | NO          | nextval('cas_tickets_id_seq'::regclass)
 cas_tickets                               | ticket_id                  | character varying        |                      255 | NO          | 
 cas_tickets                               | user_id                    | character varying        |                      255 | NO          | 
 cas_tickets                               | service_url                | text                     |                          | NO          | 
 cas_tickets                               | created_at                 | timestamp with time zone |                          | NO          | now()
 cas_tickets                               | expires_at                 | timestamp with time zone |                          | NO          | 
 cas_tickets                               | consumed_at                | timestamp with time zone |                          | YES         | 
 cas_tickets                               | consumed_by                | text                     |                          | YES         | 
 cas_tickets                               | is_valid                   | boolean                  |                          | NO          | true
 cas_user_attributes                       | id                         | integer                  |                          | NO          | nextval('cas_user_attributes_id_seq'::regclass)
 cas_user_attributes                       | user_id                    | character varying        |                      255 | NO          | 
 cas_user_attributes                       | attribute_name             | character varying        |                      255 | NO          | 
 cas_user_attributes                       | attribute_value            | text                     |                          | NO          | 
 cas_user_attributes                       | created_at                 | timestamp with time zone |                          | NO          | now()
 cas_user_attributes                       | updated_at                 | timestamp with time zone |                          | NO          | now()
 cross_signing_keys                        | user_id                    | character varying        |                      255 | NO          | 
 cross_signing_keys                        | key_type                   | character varying        |                       50 | NO          | 
 cross_signing_keys                        | key_id                     | character varying        |                      255 | NO          | 
 cross_signing_keys                        | key_json                   | jsonb                    |                          | NO          | 
 cross_signing_keys                        | ts_added_ms                | bigint                   |                          | NO          | 
 cross_signing_keys                        | ts_updated_ms              | bigint                   |                          | NO          | 
 cross_signing_keys                        | verified                   | boolean                  |                          | YES         | false
 cross_signing_keys                        | blocked                    | boolean                  |                          | YES         | false
 current_state_events                      | event_id                   | character varying        |                      255 | YES         | 
 current_state_events                      | room_id                    | character varying        |                      255 | YES         | 
 current_state_events                      | event_type                 | character varying        |                      255 | YES         | 
 current_state_events                      | state_key                  | character varying        |                      255 | YES         | 
 current_state_events                      | content                    | jsonb                    |                          | YES         | 
 current_state_events                      | sender                     | character varying        |                      255 | YES         | 
 current_state_events                      | user_id                    | character varying        |                      255 | YES         | 
 current_state_events                      | origin_server_ts           | bigint                   |                          | YES         | 
 current_state_events                      | depth                      | bigint                   |                          | YES         | 
 db_metadata                               | key                        | character varying        |                      255 | NO          | 
 db_metadata                               | value                      | text                     |                          | NO          | 
 db_metadata                               | updated_ts                 | bigint                   |                          | YES         | 
 deleted_events_index                      | id                         | bigint                   |                          | NO          | nextval('deleted_events_index_id_seq'::regclass)
 deleted_events_index                      | room_id                    | character varying        |                      255 | NO          | 
 deleted_events_index                      | event_id                   | character varying        |                      255 | NO          | 
 deleted_events_index                      | deletion_ts                | bigint                   |                          | NO          | 
 deleted_events_index                      | reason                     | character varying        |                       50 | YES         | 'retention'::character varying
 device_keys                               | id                         | uuid                     |                          | NO          | gen_random_uuid()
 device_keys                               | user_id                    | character varying        |                      255 | NO          | 
 device_keys                               | device_id                  | character varying        |                      255 | NO          | 
 device_keys                               | display_name               | character varying        |                      255 | YES         | 
 device_keys                               | algorithm                  | character varying        |                      100 | YES         | 
 device_keys                               | key_id                     | character varying        |                      255 | NO          | 
 device_keys                               | public_key                 | text                     |                          | NO          | 
 device_keys                               | signatures                 | jsonb                    |                          | YES         | 
 device_keys                               | created_at                 | timestamp with time zone |                          | NO          | now()
 device_keys                               | updated_at                 | timestamp with time zone |                          | NO          | now()
 device_keys                               | ts_updated_ms              | bigint                   |                          | NO          | 
 device_keys                               | key_json                   | jsonb                    |                          | NO          | '{}'::jsonb
 device_keys                               | ts_added_ms                | bigint                   |                          | NO          | 
