Case,super_admin_status,super_admin_outcome,admin_status,admin_outcome,user_status,user_outcome
Keys Backup Secure Keys,200,pass,200,pass,200,pass
Keys Backup Secure Restore,200,pass,200,pass,200,pass
Keys Backup Secure Verify,200,pass,200,pass,200,pass
Keys Changes v3,200,pass,200,pass,200,pass
Keys Claim v3,200,pass,200,pass,200,pass
Keys Device Signing Upload v3,200,pass,200,pass,200,pass
Keys Query v3,200,pass,200,pass,200,pass
Keys Signatures Upload v3,200,pass,200,pass,200,pass
Keys Upload v3,200,pass,200,pass,200,pass
Room Keys Distribution v3,200,pass,200,pass,200,pass
Security Summary,200,pass,200,pass,200,pass
SendToDevice v3,200,pass,200,pass,200,pass
Room Keys Version Create,,pass,,pass,,pass
Room Keys Version Get,,pass,,pass,,pass
Room Keys Keys Get,,pass,,pass,,pass
Room Keys Keys Room Get,,pass,,pass,,pass
Room Keys Keys Room Session Get,,pass,,pass,,pass
Room Keys Keys Room Session Put,,pass,,pass,,pass
Room Keys Backup Get,,pass,,pass,,pass
Room Keys Backup Put,,pass,,pass,,pass
Room Keys Version Delete,,pass,,pass,,pass
Get All User Account Data (r0),200,pass,200,pass,200,pass
Get All User Account Data (v3),200,pass,200,pass,200,pass
Federation User Devices,200,pass,200,pass,200,pass
Federation v1,200,pass,200,pass,200,pass
Federation OpenID UserInfo,200,pass,200,pass,200,pass
Federation PublicRooms,200,pass,200,pass,200,pass
Federation Query Destination,200,pass,200,pass,200,pass
Federation Query Auth,200,pass,200,pass,200,pass
Federation Thirdparty Invite,200,pass,200,pass,200,pass
Federation Timestamp to Event,200,pass,200,pass,200,pass
Federation v2 Invite,200,pass,200,pass,200,pass
Federation v2 Send Join,200,pass,200,pass,200,pass
Federation v2 Send Leave,200,pass,200,pass,200,pass
Federation v2 Key Clone,200,pass,200,pass,200,pass
Federation v2 Query,404,pass,404,pass,404,pass
Federation v2 Server,200,pass,200,pass,200,pass
Federation v2 User Keys Query,200,pass,200,pass,200,pass
Federation Hierarchy,401,skip,401,skip,401,skip
Federation Exchange Third Party Invite,200,pass,200,pass,200,pass
Federation Knock,200,pass,200,pass,200,pass
Admin Add Federation Blacklist,200,pass,403,pass,403,pass
Admin Remove Federation Blacklist,200,pass,403,pass,403,pass
Admin Reset Federation Connection,,skip,,skip,,skip
Admin Delete Room,200,pass,200,pass,403,pass
Admin Room Member Add,200,pass,200,pass,403,pass
Admin Room Ban User,200,pass,200,pass,403,pass
Admin Room Kick User,200,pass,200,pass,403,pass
Admin Set Room Public,200,pass,200,pass,403,pass
Admin Purge History,200,pass,403,pass,403,pass
Admin Delete User,,skip,,skip,,skip
Admin Session Invalidate,,skip,,skip,,skip
Admin Delete User Device,200,pass,200,pass,403,pass
Admin Create Registration Token,200,pass,403,pass,403,pass
Admin Send Server Notice,200,pass,403,pass,403,pass
Admin List Pushers,200,pass,200,pass,403,pass
Admin Shadow Ban User,200,pass,200,pass,403,pass
Admin Set Retention Policy,200,pass,403,pass,403,pass
Admin List Audit Events,200,pass,200,pass,403,pass
Prepare Representative Room,200,pass,200,pass,200,pass
Prepare Representative Event,200,pass,200,pass,200,pass
Get Room Thread,200,pass,200,pass,200,pass
Get Room Reactions,200,pass,200,pass,200,pass
Get Room Context,200,pass,200,pass,200,pass
Get Room Hierarchy,200,pass,200,pass,200,pass
Federation OpenID Userinfo,200,pass,200,pass,200,pass
List Thirdparty Protocols,200,pass,200,pass,200,pass
Create Widget,200,pass,200,pass,200,pass
Widget Config,200,pass,200,pass,200,pass
Get Feature Flags,200,pass,200,pass,403,pass
Jitsi Config,200,pass,200,pass,200,pass
App Service Query,200,pass,200,pass,200,pass
List App Services,200,pass,200,pass,403,pass
Create Rendezvous Session,200,pass,200,pass,200,pass
Get Rendezvous Session,200,pass,200,pass,200,pass
Horizontal: Delete Other User Device,404,pass,404,pass,404,pass
Horizontal: Update Other User Profile,403,pass,403,pass,403,pass
Horizontal: Join Private Room,403,pass,403,pass,403,pass
Ensure Deactivate Target (@deactivate_probe_admin:localhost),N/A,N/A,409,pass,N/A,N/A
Login (User: @regularuser:localhost),N/A,N/A,N/A,N/A,,pass
Ensure Deactivate Target (@deactivate_probe_user:localhost),N/A,N/A,N/A,N/A,409,pass
