table_name,column_name,constraint_type,constraint_name
push_devices,pushkey,UNIQUE,push_devices_user_id_device_id_pushkey_key
push_notification_log,user_id,FOREIGN KEY,fk_push_notification_log_user_id
push_notification_log,id,PRIMARY KEY,push_notification_log_pkey
push_notification_queue,user_id,FOREIGN KEY,fk_push_notification_queue_user_id
push_notification_queue,id,PRIMARY KEY,push_notification_queue_pkey
push_provider_configs,id,PRIMARY KEY,push_provider_configs_pkey
push_provider_configs,provider_name,UNIQUE,push_provider_configs_provider_name_key
push_rules,user_id,FOREIGN KEY,fk_push_rules_user_id
push_rules,id,PRIMARY KEY,push_rules_pkey
push_rules,user_id,UNIQUE,push_rules_user_rule_unique
push_rules,rule_id,UNIQUE,push_rules_user_rule_unique
push_rules,kind,UNIQUE,push_rules_user_rule_unique
push_rules,scope,UNIQUE,push_rules_user_rule_unique
push_stats,user_id,FOREIGN KEY,fk_push_stats_user_id
push_stats,id,PRIMARY KEY,push_stats_pkey
push_stats,user_id,UNIQUE,push_stats_user_date_unique
push_stats,date,UNIQUE,push_stats_user_date_unique
pushers,user_id,FOREIGN KEY,fk_pushers_user_id
pushers,id,PRIMARY KEY,pushers_pkey
pushers,user_id,UNIQUE,pushers_user_pushkey_unique
pushers,pushkey,UNIQUE,pushers_user_pushkey_unique
rate_limit_callbacks,id,PRIMARY KEY,rate_limit_callbacks_pkey
read_markers,room_id,FOREIGN KEY,fk_read_markers_room_id
read_markers,user_id,FOREIGN KEY,fk_read_markers_user_id
read_markers,id,PRIMARY KEY,read_markers_pkey
read_markers,user_id,UNIQUE,read_markers_room_user_type_unique
read_markers,marker_type,UNIQUE,read_markers_room_user_type_unique
read_markers,room_id,UNIQUE,read_markers_room_user_type_unique
receipts,room_id,FOREIGN KEY,fk_receipts_room_id
receipts,user_id,FOREIGN KEY,fk_receipts_user_id
receipts,id,PRIMARY KEY,receipts_pkey
receipts,room_id,UNIQUE,receipts_room_event_user_type_unique
receipts,receipt_type,UNIQUE,receipts_room_event_user_type_unique
